id_1,id_2,n,matches
ACM SE,ANCS,1,Performance
ACM SE,APGV,1,Human computer interaction
ACM SE,ASE,2,Software development process management#Software design techniques
ACM SE,ASIA CCS,2,Security and privacy#Computer crime
ACM SE,ASPDAC,1,Performance
ACM SE,ASPLOS,1,Performance
ACM SE,ASSETS,1,Human computer interaction
ACM SE,AUS-CE,4,Human computer interaction#Computer science education#Information science education#Model curricula
ACM SE,BCB,1,Data mining
ACM SE,C&C,1,Human computer interaction
ACM SE,CCS,2,Security and privacy#Computer crime
ACM SE,CF,1,Performance
ACM SE,CGO,1,Performance
ACM SE,CHI,1,Human computer interaction
ACM SE,CIKM,2,Data mining#Information retrieval
ACM SE,CODASPY,2,Security and privacy#Computer crime
ACM SE,COMM,1,Performance
ACM SE,CoNEXT,1,Performance
ACM SE,CPR,3,Project and people management#Human computer interaction#Computer science education
ACM SE,CPSWeek,1,Performance
ACM SE,CSCW,1,Human computer interaction
ACM SE,CSE,4,Human computer interaction#Computer science education#Information science education#Model curricula
ACM SE,DAC,1,Performance
ACM SE,DEBS,1,Performance
ACM SE,DOC,3,Project and people management#Human computer interaction#Information retrieval
ACM SE,DocEng,1,Information retrieval
ACM SE,DS-RT,1,Performance
ACM SE,EC,2,Design and analysis of algorithms#Human computer interaction
ACM SE,EICS,3,Human computer interaction#Software development process management#Software design techniques
ACM SE,ESEM,4,Project and people management#Human computer interaction#Software development process management#Software management
ACM SE,ESWEEK,1,Performance
ACM SE,ETRA,1,Human computer interaction
ACM SE,EuroSys,3,Security and privacy#Performance#Computer crime
ACM SE,FSE,3,Project and people management#Software development process management#Software design techniques
ACM SE,GECCO,1,Design and analysis of algorithms
ACM SE,GIS,4,Design and analysis of algorithms#Human computer interaction#Data mining#Information retrieval
ACM SE,GPCE,3,Language features#Software development process management#Software design techniques
ACM SE,GROUP,1,Human computer interaction
ACM SE,HotMobile,2,Human computer interaction#Performance
ACM SE,HPDC,1,Performance
ACM SE,HRI,1,Human computer interaction
ACM SE,HT,2,Human computer interaction#Information retrieval
ACM SE,ICAC,1,Performance
ACM SE,ICCAD,1,Performance
ACM SE,ICE,1,Performance
ACM SE,ICER,3,Computer science education#Information science education#Model curricula
ACM SE,ICFP,1,Language features
ACM SE,ICMI-MLMI,1,Human computer interaction
ACM SE,ICPE,3,Performance#Software development process management#Software management
ACM SE,ICS,1,Performance
ACM SE,ICSE,4,Project and people management#Software development process management#Software design techniques#Software management
ACM SE,ICUIMC,4,Human computer interaction#Performance#Data mining#Information retrieval
ACM SE,IDEAS,2,Data mining#Information retrieval
ACM SE,IH&MMSec,2,Security and privacy#Computer crime
ACM SE,IMC,1,Performance
ACM SE,IR,1,Information retrieval
ACM SE,ISCA,1,Performance
ACM SE,ISLPED,1,Performance
ACM SE,ISMM,1,Language features
ACM SE,ISSTA,2,Software development process management#Software design techniques
ACM SE,ITE,5,Model curricula#Security and privacy#Computer crime#Computer science education#Information science education
ACM SE,ITiCSE,4,Human computer interaction#Computer science education#Information science education#Model curricula
ACM SE,IUI,2,Human computer interaction#Information retrieval
ACM SE,JCDL,2,Human computer interaction#Information retrieval
ACM SE,K-CAP,1,Information retrieval
ACM SE,KDD,2,Data mining#Information retrieval
ACM SE,METRICS,1,Performance
ACM SE,MICRO,1,Performance
ACM SE,Middleware,2,Performance#Information retrieval
ACM SE,MM,2,Human computer interaction#Information retrieval
ACM SE,MobiCom,1,Performance
ACM SE,MobiHoc,2,Design and analysis of algorithms#Performance
ACM SE,MobiSys,1,Human computer interaction
ACM SE,MOD,2,Data mining#Information retrieval
ACM SE,MSWiM,1,Performance
ACM SE,NOSSDAV,1,Performance
ACM SE,PACT,1,Performance
ACM SE,PADS,1,Performance
ACM SE,PEPM,2,Language features#Software development process management
ACM SE,PLDI,2,Language features#Software development process management
ACM SE,PLoP,6,Human computer interaction#Software development process management#Project and people management#Computer science education#Software design techniques#Software management
ACM SE,PODC,2,Design and analysis of algorithms#Performance
ACM SE,POPL,2,Language features#Software development process management
ACM SE,PPoPP,2,Language features#Performance
ACM SE,RecSys,3,Human computer interaction#Data mining#Information retrieval
ACM SE,SAC,4,Performance#Software development process management#Data mining#Information retrieval
ACM SE,SACMAT,4,Security and privacy#Human computer interaction#Computer crime#Data mining
ACM SE,SC,1,Performance
ACM SE,SenSys,1,Performance
ACM SE,SLIP,1,Performance
ACM SE,SODA,1,Design and analysis of algorithms
ACM SE,SOSP,1,Performance
ACM SE,SPAA,2,Design and analysis of algorithms#Performance
ACM SE,SPLASH,3,Language features#Software development process management#Software design techniques
ACM SE,STOC,1,Design and analysis of algorithms
ACM SE,SUI,1,Human computer interaction
ACM SE,TEI,1,Human computer interaction
ACM SE,UbiComp,2,Human computer interaction#Information retrieval
ACM SE,UCCS,5,Project and people management#Human computer interaction#Computer crime#Computer science education#Information science education
ACM SE,UIST,2,Human computer interaction#Software development process management
ACM SE,VALUETOOLS,1,Performance
ACM SE,VEE,1,Performance
ACM SE,VRST,1,Human computer interaction
ACM SE,WebSci,3,Human computer interaction#Data mining#Information retrieval
ACM SE,WISEC,2,Security and privacy#Computer crime
ACM SE,WSDM,3,Human computer interaction#Data mining#Information retrieval
ACM SE,WWW,3,Human computer interaction#Data mining#Information retrieval
ANCS,ASIA CCS,1,Network security
ANCS,ASPDAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ASPLOS,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ANCS,CCS,1,Network security
ANCS,CF,5,Real-time systems#Dependable and fault-tolerant systems and networks#Performance#Embedded and cyber-physical systems#Network performance evaluation
ANCS,CGO,4,General and reference#Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,CODASPY,1,Network security
